,pclass,survived,sex,age,sibsp,parch,ticket,cabin,embarked,boat,body
0,1,1,female,29.0,0,0,24160,B5,S,2,
1,1,1,male,0.9167,1,2,113781,C22 C26,S,11,
2,1,0,female,2.0,1,2,113781,C22 C26,S,,
3,1,0,male,30.0,1,2,113781,C22 C26,S,,135.0
4,1,0,female,25.0,1,2,113781,C22 C26,S,,
5,1,1,male,48.0,0,0,19952,E12,S,3,
6,1,1,female,63.0,1,0,13502,D7,S,10,
7,1,0,male,39.0,0,0,112050,A36,S,,
8,1,1,female,53.0,2,0,11769,C101,S,D,
9,1,0,male,71.0,0,0,PC 17609,,C,,22.0
10,1,0,male,47.0,1,0,PC 17757,C62 C64,C,,124.0
11,1,1,female,18.0,1,0,PC 17757,C62 C64,C,4,
12,1,1,female,24.0,0,0,PC 17477,B35,C,9,
13,1,1,female,26.0,0,0,19877,,S,6,
14,1,1,male,80.0,0,0,27042,A23,S,B,
15,1,0,male,0.0,0,0,PC 17318,,S,,
16,1,0,male,24.0,0,1,PC 17558,B58 B60,C,,
17,1,1,female,50.0,0,1,PC 17558,B58 B60,C,6,
18,1,1,female,32.0,0,0,11813,D15,C,8,
19,1,0,male,36.0,0,0,13050,C6,C,A,
20,1,1,male,37.0,1,1,11751,D35,S,5,
21,1,1,female,47.0,1,1,11751,D35,S,5,
22,1,1,male,26.0,0,0,111369,C148,C,5,
23,1,1,female,42.0,0,0,PC 17757,,C,4,
24,1,1,female,29.0,0,0,PC 17483,C97,S,8,
25,1,0,male,25.0,0,0,13905,,C,,148.0
26,1,1,male,25.0,1,0,11967,B49,C,7,
27,1,1,female,19.0,1,0,11967,B49,C,7,
28,1,1,female,35.0,0,0,PC 17760,C99,S,8,
29,1,1,male,28.0,0,0,110564,C52,S,D,
30,1,0,male,45.0,0,0,113784,T,S,,
31,1,1,male,40.0,0,0,112277,A31,C,7,
32,1,1,female,30.0,0,0,36928,C7,S,8,
33,1,1,female,58.0,0,0,113783,C103,S,8,
34,1,0,male,42.0,0,0,110489,D22,S,,
35,1,1,female,45.0,0,0,PC 17608,,C,4,
36,1,1,female,22.0,0,1,113505,E33,S,6,
37,1,1,male,0.0,0,0,111427,,S,9,
38,1,0,male,41.0,0,0,113054,A21,S,,
39,1,0,male,48.0,0,0,PC 17591,B10,C,,208.0
40,1,0,male,0.0,0,0,112379,,C,,
41,1,1,female,44.0,0,0,PC 17610,B4,C,6,
42,1,1,female,59.0,2,0,11769,C101,S,D,
43,1,1,female,60.0,0,0,11813,D15,C,8,
44,1,1,female,41.0,0,0,16966,E40,C,3,
45,1,0,male,45.0,0,0,113050,B38,S,,
46,1,0,male,0.0,0,0,113798,,S,,
47,1,1,male,42.0,0,0,PC 17476,E24,S,5,
48,1,1,female,53.0,0,0,PC 17606,,C,6,
49,1,1,male,36.0,0,1,PC 17755,B51 B53 B55,C,3,
50,1,1,female,58.0,0,1,PC 17755,B51 B53 B55,C,3,
51,1,0,male,33.0,0,0,695,B51 B53 B55,S,,
52,1,0,male,28.0,0,0,113059,,S,,
53,1,0,male,17.0,0,0,113059,,S,,
54,1,1,male,11.0,1,2,113760,B96 B98,S,4,
55,1,1,female,14.0,1,2,113760,B96 B98,S,4,
56,1,1,male,36.0,1,2,113760,B96 B98,S,C,
57,1,1,female,36.0,1,2,113760,B96 B98,S,4,
58,1,0,male,49.0,0,0,19924,,S,,
59,1,1,female,0.0,0,0,17770,,C,5,
60,1,0,male,36.0,1,0,19877,C46,S,,172.0
61,1,1,female,76.0,1,0,19877,C46,S,6,
62,1,0,male,46.0,1,0,W.E.P. 5734,E31,S,,
63,1,1,female,47.0,1,0,W.E.P. 5734,E31,S,4,
64,1,1,male,27.0,1,0,113806,E8,S,5,
65,1,1,female,33.0,1,0,113806,E8,S,5,
66,1,1,female,36.0,0,0,PC 17608,B61,C,4,
67,1,1,female,30.0,0,0,110152,B77,S,8,
68,1,1,male,45.0,0,0,PC 17594,A9,C,7,
69,1,1,female,0.0,0,1,113505,E33,S,6,
70,1,0,male,0.0,0,0,112051,,S,,
71,1,0,male,27.0,1,0,13508,C89,C,,
72,1,1,female,26.0,1,0,13508,C89,C,4,
